"id","source_website_address","city","zbkzj","kbjj","k1","k2"
"ah-luan-25aa2283-c863-470b-ac4c-45162cfb1a66_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=25aa2283-c863-470b-ac4c-45162cfb1a66&categorynum=001001012&relationguid=25aa2283-c863-470b-ac4c-45162cfb1a66","六安市","3304164.67","3205039.63",,
"ah-luan-263c482a-d79a-4a9d-961b-851bd1e0b33c_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=263c482a-d79a-4a9d-961b-851bd1e0b33c&categorynum=001001012&relationguid=263c482a-d79a-4a9d-961b-851bd1e0b33c","六安市",,,,
"ah-luan-26721ec4-306a-41c2-9cb9-4bbbcb68dce7_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=26721ec4-306a-41c2-9cb9-4bbbcb68dce7&categorynum=001001012&relationguid=26721ec4-306a-41c2-9cb9-4bbbcb68dce7","六安市",,,,
"ah-luan-26f244d0-b20a-4547-83ad-811ab4268ff2_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=26f244d0-b20a-4547-83ad-811ab4268ff2&categorynum=001001012&relationguid=26f244d0-b20a-4547-83ad-811ab4268ff2","六安市",,,,
"ah-luan-27d3ce43-3914-47a5-b4af-30178cc1e40b_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=27d3ce43-3914-47a5-b4af-30178cc1e40b&categorynum=001001012&relationguid=27d3ce43-3914-47a5-b4af-30178cc1e40b","六安市",,,,
"ah-luan-29074cab-753d-4041-9e92-1a931240599a_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=29074cab-753d-4041-9e92-1a931240599a&categorynum=001001012&relationguid=29074cab-753d-4041-9e92-1a931240599a","六安市","4250600.00","1912770.00",,
"ah-luan-29860048-daef-4d09-a2ed-3eb9623d90b0_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=29860048-daef-4d09-a2ed-3eb9623d90b0&categorynum=001001012&relationguid=29860048-daef-4d09-a2ed-3eb9623d90b0","六安市","1180000.00","948000.00",,
"ah-luan-2993217b-1c53-492e-a6fd-64609a2cd29f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2993217b-1c53-492e-a6fd-64609a2cd29f&categorynum=001001012&relationguid=2993217b-1c53-492e-a6fd-64609a2cd29f","六安市","11939153.32","10309458.89",,
"ah-luan-2b25a11f-6810-49ea-97cd-e81f3f094f66_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2b25a11f-6810-49ea-97cd-e81f3f094f66&categorynum=001001012&relationguid=2b25a11f-6810-49ea-97cd-e81f3f094f66","六安市",,,,
"ah-luan-2bee0267-2aba-401b-ad91-9d4b983c1230_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2bee0267-2aba-401b-ad91-9d4b983c1230&categorynum=001001012&relationguid=2bee0267-2aba-401b-ad91-9d4b983c1230","六安市","2503835.83","2435339.21",,
"ah-luan-2c6685c4-3fd2-4001-aec6-fd1b912352ba_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2c6685c4-3fd2-4001-aec6-fd1b912352ba&categorynum=001001012&relationguid=2c6685c4-3fd2-4001-aec6-fd1b912352ba","六安市","5868648.80","5288782.32",,
"ah-luan-2d402f47-bde4-460c-b97a-a1749b1782f6_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2d402f47-bde4-460c-b97a-a1749b1782f6&categorynum=001001012&relationguid=2d402f47-bde4-460c-b97a-a1749b1782f6","六安市","4396770.71","4313101.00",,
"ah-luan-2d8f2baf-cdd5-4c0b-a4c8-9fdbdff0fc0c_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2d8f2baf-cdd5-4c0b-a4c8-9fdbdff0fc0c&categorynum=001001012&relationguid=2d8f2baf-cdd5-4c0b-a4c8-9fdbdff0fc0c","六安市","20197999.17","17333722.01",,
"ah-luan-2f7c5bb8-114e-4166-8bd4-3ead65e3bc41_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2f7c5bb8-114e-4166-8bd4-3ead65e3bc41&categorynum=001001012&relationguid=2f7c5bb8-114e-4166-8bd4-3ead65e3bc41","六安市","5582165.82","4848000.00",,
"ah-luan-2fb29fb1-22c4-4479-9c37-83c9fc087e8b_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2fb29fb1-22c4-4479-9c37-83c9fc087e8b&categorynum=001001012&relationguid=2fb29fb1-22c4-4479-9c37-83c9fc087e8b","六安市","6172348.42","5271121.14",,
"ah-luan-3057b709-8ba4-4df6-9210-327d3cc2b720_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=3057b709-8ba4-4df6-9210-327d3cc2b720&categorynum=001001012&relationguid=3057b709-8ba4-4df6-9210-327d3cc2b720","六安市","10047400.30","9042666.66",,
"ah-luan-30c792cd-b189-4484-b37c-ecb5c179c4a0_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=30c792cd-b189-4484-b37c-ecb5c179c4a0&categorynum=001001012&relationguid=30c792cd-b189-4484-b37c-ecb5c179c4a0","六安市","6753528.64","6483387.49",,
"ah-luan-31055b55-930c-41d4-8839-5dbab3bab6fa_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=31055b55-930c-41d4-8839-5dbab3bab6fa&categorynum=001001012&relationguid=31055b55-930c-41d4-8839-5dbab3bab6fa","六安市","44313391.43","37001415.47",,
"ah-luan-3117869c-2dcc-4807-980e-d89e4e9bbb88_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=3117869c-2dcc-4807-980e-d89e4e9bbb88&categorynum=001001012&relationguid=3117869c-2dcc-4807-980e-d89e4e9bbb88","六安市","43677351.05","38008030.02",,
"ah-luan-31290114-040e-4db6-9c68-4caa6e5b63aa_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=31290114-040e-4db6-9c68-4caa6e5b63aa&categorynum=001001012&relationguid=31290114-040e-4db6-9c68-4caa6e5b63aa","六安市","10000000.00","9248400.00",,
"ah-luan-31a42903-6a82-408f-8c67-69b8e415856e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=31a42903-6a82-408f-8c67-69b8e415856e&categorynum=001001012&relationguid=31a42903-6a82-408f-8c67-69b8e415856e","六安市",,,,
"ah-luan-3295ba5a-87ba-4506-8ef5-d931714154c6_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=3295ba5a-87ba-4506-8ef5-d931714154c6&categorynum=001001012&relationguid=3295ba5a-87ba-4506-8ef5-d931714154c6","六安市",,,,
"ah-luan-32a83f36-5e70-4edb-9762-a82dc9ce492d_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=32a83f36-5e70-4edb-9762-a82dc9ce492d&categorynum=001001012&relationguid=32a83f36-5e70-4edb-9762-a82dc9ce492d","六安市","7200000.00","7158000.00",,
"ah-luan-33a1c597-7821-4c1f-a699-20d90898d84f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=33a1c597-7821-4c1f-a699-20d90898d84f&categorynum=001001012&relationguid=33a1c597-7821-4c1f-a699-20d90898d84f","六安市","4064100.00","2601024.00",,
