id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-7860a530-b5a9-4d4b-80e1-9370804ef9a5-1KB,寿县,工程建设,公路工程,陶店回族乡农村公路提质改造等建设项目第一标段,1460870.49,1286962.55,-10.0,-13.8,271,2023-04-20,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230420/7860a530-b5a9-4d4b-80e1-9370804ef9a5-1KB.html,公开招标
ah-huainan-79664e07-34b1-4af1-bcea-1393e54f561a-1KB,寿县,工程建设,市政公用工程,众兴路污水管网改造工程,4955876.66,4385950.84,-10.0,-8.4,57,2023-01-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230118/79664e07-34b1-4af1-bcea-1393e54f561a-1KB.html,公开招标
ah-huainan-7eacfe99-a89d-4eb4-ab08-2a0d26e610cc,,工程建设,市政公用工程,毛集实验区乡村发展振兴项目（农村人居环境整治专项）工程总承包,45000000.0,43425000.0,,,20,2021-11-23,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20211123/7eacfe99-a89d-4eb4-ab08-2a0d26e610cc.html,公开招标
ah-huainan-7f515f75-f065-4605-b84f-0c4742bd7b96-1KB,,工程建设,市政公用工程,凤台县新一路、新二路道路工程及西商雨水管排水工程建设项目,20850000.0,17720780.63,0.0,,31,2023-06-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230629/7f515f75-f065-4605-b84f-0c4742bd7b96-1KB.html,
ah-huainan-7f5f38cf-d6a5-4a95-9b8c-0e83c45c29f9-1KB,凤台县,工程建设,建筑工程,凤台县斜路陈棚户区改造项目雨污水工程,2300000.0,2050095.59,3.83,,204,2023-04-19,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230419/7f5f38cf-d6a5-4a95-9b8c-0e83c45c29f9-1KB.html,公开招标
ah-huainan-81868ce2-a852-470d-b074-895c397c6c9a-1KB,市级,工程建设,建筑工程,淮南市消防救援支队培训基地战勤保障深化库室建设项目,4000000.0,3599855.11,0.0,,43,2022-12-01,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221201/81868ce2-a852-470d-b074-895c397c6c9a-1KB.html,公开招标
ah-huainan-81c74a74-9b03-417c-adf2-d020130b951d-1KB,寿县,工程建设,工程货物类,寿县科技学校(职教中心)、寿县技工学校电梯采购及安装工程项目,5400000.0,4457500.0,,,31,2023-06-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230606/81c74a74-9b03-417c-adf2-d020130b951d-1KB.html,公开招标
ah-huainan-8432654a-13d4-4005-afe8-75c9a25d874f-1KB,寿县,工程建设,建筑工程,寿县粮食仓储设施建设（五期）项目第一标段,18945816.44,17842980.47,0.45,0.97,116,2022-11-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221108/8432654a-13d4-4005-afe8-75c9a25d874f-1KB.html,公开招标
ah-huainan-8597a9cd-0674-4d52-8611-a1057323abe3-1KB,市级,工程建设,建筑工程,孤堆回族乡现代农业产业园建设项目（三期）EPC总承包,5117000.0,4936600.0,0.0,,13,2023-06-12,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230612/8597a9cd-0674-4d52-8611-a1057323abe3-1KB.html,公开招标
ah-huainan-8696bcda-a356-4f8c-b7d7-d7668ba14017-1KB,寿县,工程建设,水利水电工程,寿县洪小河生态环境综合治理项目（一期）I标段1包建设工程,8704298.19,7958987.43,0.1,,183,2023-06-16,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230616/8696bcda-a356-4f8c-b7d7-d7668ba14017-1KB.html,公开招标
ah-huainan-882a20dc-9e44-4694-a035-a1ff841044bd-1KB,寿县,工程建设,建筑工程,寿县老城区北门东侧内环路公厕改造工程,686070.1,636261.41,0.4,0.96,147,2023-01-03,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230103/882a20dc-9e44-4694-a035-a1ff841044bd-1KB.html,公开招标
ah-huainan-88c7a210-0123-40b3-a2ec-f0b013ef08fe-1KB,凤台县,工程建设,市政公用工程,凤台经济开发区凤凰湖园区污水处理厂项目（EPC）总承包,192414800.0,187947218.11,0.0,,13,2023-06-20,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230620/88c7a210-0123-40b3-a2ec-f0b013ef08fe-1KB.html,公开招标
ah-huainan-88f1c20d-1c97-4f82-9cf1-d65e49f330dd-1KB,寿县,工程建设,建筑工程,张李、迎河、板桥、安丰塘、正阳、丰庄、涧沟、双桥等8乡镇2023年校舍维修改造项目第一标段,4203417.44,3941124.19,0.4,0.98,181,2023-06-14,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230614/88f1c20d-1c97-4f82-9cf1-d65e49f330dd-1KB.html,公开招标
ah-huainan-8a300c4a-3275-4e58-a991-d56bd5bf2f02-1KB,寿县,工程建设,市政公用工程,寿县二中篮球场排球场和运动场看台及膜结构维修改造项目,4000000.0,3583771.74,-11.2,-9.4,129,2023-06-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230605/8a300c4a-3275-4e58-a991-d56bd5bf2f02-1KB.html,公开招标
